HCP_ID,Name,Specialty,Location,Hospital_Affiliation,Years_of_Experience,Patient_Count,Engagement_Score,Email,Phone_Number,Last_Interaction_Date,Preferred_Contact_Method,Compliance_Flag,Associated_Brand,Region
HCP-0001,Steven Smith,Psychiatry,"Jesseport, Hawaii","Moore, Watson and Bowers Hospital",34,236,6.4,vmitchell@lloyd.net,(049)816-6237,2024-02-04,In-person,Yes,HealthFirst,North America
HCP-0002,Carla Mcdonald,Orthopedics,"Josephport, Mississippi","Reyes, Salazar and Johnson Hospital",26,135,4.1,terrimcintyre@yahoo.com,325-614-4660,2022-12-22,Phone,Yes,CarePoint,South America
HCP-0003,Larry Pineda,Cardiology,"Greenmouth, South Dakota",Briggs-Clark Hospital,31,446,9.3,mperez@elliott-hunt.info,354-084-9661x901,2023-05-13,Email,No,CarePoint,Asia
HCP-0004,Eric Clark,Orthopedics,"Brittanyside, Connecticut","Glenn, Ward and Jenkins Hospital",30,274,1.3,jessicareynolds@yahoo.com,(610)476-0137x24593,2024-07-27,In-person,Yes,HealthFirst,Africa
HCP-0005,Jonathan Montgomery,Cardiology,"Lake Matthew, Kansas","Patrick, Hall and James Hospital",28,461,9.1,oscott@mccarty.net,(547)234-7306,2024-04-29,Phone,No,CarePoint,Europe
HCP-0006,Charles Ellis,Oncology,"East Mauriceville, Florida",Snyder-Rodriguez Hospital,9,220,1.4,anthonyfrederick@hotmail.com,605.140.8575x41702,2024-09-07,In-person,No,HealthFirst,South America
HCP-0007,Cheyenne Booth,Cardiology,"South Valeriefurt, Pennsylvania",Stewart Ltd Hospital,40,469,6.2,torresaustin@hotmail.com,(778)106-4277x186,2024-05-27,Email,Yes,CarePoint,South America
HCP-0008,John Key,Neurology,"Annemouth, Massachusetts",Berry LLC Hospital,20,494,8.4,james91@mendoza.com,2137676228,2024-12-03,In-person,No,MediCare,Asia
HCP-0009,Alexander Davis,Cardiology,"Jamiechester, Wyoming","Collier, Garner and Fletcher Hospital",7,448,6.3,cherylharris@yahoo.com,(669)491-3584x021,2024-07-14,Phone,Yes,MediCare,Europe
HCP-0010,Terry Mckinney,Dermatology,"Whitneyhaven, Delaware",Zamora-Ramos Hospital,28,350,3.4,kmills@hardin.com,(012)784-2764,2024-02-19,Phone,No,HealthFirst,Europe
HCP-0011,Meghan Williams,Oncology,"Dawnland, New Jersey",Fowler and Sons Hospital,8,415,5.9,owood@gmail.com,515.665.2277,2023-06-14,Phone,No,HealthBridge,Asia
HCP-0012,Whitney Brown,Oncology,"Michaelton, Georgia","Stevens, Hall and Lee Hospital",24,252,5.8,jgutierrez@yahoo.com,143.063.1358x436,2024-01-30,Email,Yes,LifeLine,Asia
HCP-0013,Ashley Dickson,Cardiology,"Jasonfort, Maine",Lee LLC Hospital,3,489,5.3,xmartin@yahoo.com,001-867-256-2103x45973,2024-10-05,Email,No,WellnessPro,South America
HCP-0014,Kristen Williams,Orthopedics,"Bryanside, Missouri","Henderson, Miller and Cook Hospital",12,76,7.7,brenda65@hotmail.com,090.482.2411x739,2023-07-02,Phone,No,HealthFirst,Africa
HCP-0015,Steven Cruz,Dermatology,"Port Mark, Kentucky",Evans-Stewart Hospital,19,292,7.9,jcole@gonzalez-drake.org,733.004.2324x3030,2023-03-11,Email,No,LifeLine,Australia
HCP-0016,Peter Fields,Pediatrics,"Katieberg, Washington",Miller-Graves Hospital,11,185,6.5,lferguson@gmail.com,001-028-670-6879x5221,2023-10-06,Email,No,HealthBridge,Europe
HCP-0017,Kurt Chaney,Psychiatry,"Ramirezmouth, New York",Bishop Group Hospital,31,86,5.9,rachel78@hotmail.com,2609578599,2023-04-11,Phone,No,LifeLine,Asia
HCP-0018,Robert Allen,Dermatology,"New Erika, Connecticut","Harper, Rasmussen and Boyd Hospital",26,122,4.2,cbaldwin@yahoo.com,047.092.0240x309,2023-09-20,Phone,No,CarePoint,North America
HCP-0019,Noah Thomas,Neurology,"Port Michael, Tennessee",Morrison Ltd Hospital,26,261,3.9,brittney33@walton.org,+1-460-410-6715x507,2023-12-05,Email,No,WellnessPro,North America
HCP-0020,Patricia Diaz,Neurology,"New Stephen, Kansas",Smith-Ramirez Hospital,21,400,4.1,ereed@morgan.com,(902)685-1246x959,2024-03-31,In-person,No,LifeLine,Europe
HCP-0021,Vanessa Phillips,Cardiology,"North Frederickmouth, Maryland","Adams, Hopkins and Morton Hospital",26,113,9.6,olsenkelly@hotmail.com,(144)546-0321x6604,2023-07-08,In-person,Yes,LifeLine,Asia
HCP-0022,James Elliott,Cardiology,"Lake Normashire, New Hampshire",Norton-Gibson Hospital,25,179,9.3,thomaskaren@hughes-cortez.net,(941)751-8091,2024-11-28,Phone,Yes,HealthBridge,Australia
HCP-0023,Jeremy Stokes,Oncology,"Thorntonshire, New Hampshire",Barrett PLC Hospital,22,265,5.7,josephmatthew@jenkins.com,+1-165-849-5749x881,2023-07-19,Phone,Yes,MediCare,Africa
HCP-0024,Helen Armstrong,Pediatrics,"South Natalie, North Dakota",Norman-Phelps Hospital,37,241,9.6,davidsonrandy@hotmail.com,(602)623-5061x43118,2023-12-21,Phone,Yes,HealthBridge,North America
HCP-0025,Jennifer Ward,Neurology,"West Beverly, Minnesota",Miller-Greene Hospital,24,116,2.3,keith41@moore.com,(456)293-0907,2023-01-06,Phone,No,WellnessPro,Europe
HCP-0026,Melissa Brown,Psychiatry,"Micheleport, North Dakota",Moreno-Greer Hospital,16,347,1.4,jessicaharvey@yahoo.com,+1-114-435-0310x65019,2024-01-24,Phone,No,HealthBridge,Africa
HCP-0027,Jill Robinson,Psychiatry,"South Sheilamouth, North Dakota",Blackwell-Allen Hospital,5,23,8.8,courtney65@martinez.com,+1-605-050-0865x316,2024-03-24,Phone,Yes,CarePoint,Africa
HCP-0028,Daniel Jackson,Pediatrics,"Patriciaberg, Arkansas",Williams and Sons Hospital,4,45,9.3,ykoch@sims.net,148.911.2565,2024-11-03,Phone,No,LifeLine,Europe
HCP-0029,Brenda Wagner,Oncology,"East Sharonview, Nevada","Smith, Trujillo and Thompson Hospital",6,99,5.6,priceapril@williams-kim.com,(315)790-9262,2023-05-20,Phone,Yes,WellnessPro,Africa
HCP-0030,Dennis Lewis,Neurology,"East Brettport, Alaska",Lopez-Davis Hospital,30,31,3.9,amythompson@solis.com,728.248.5987x12655,2023-09-05,Email,Yes,WellnessPro,Africa
